,Time,Returns_ESTC3
597,2015-03-06,-0.030881313801465637
598,2015-03-09,-0.017645665705842806
599,2015-03-10,-0.01671354236109268
600,2015-03-11,-0.0037523496185505323
601,2015-03-12,-0.0018814680997056854
602,2015-03-13,-0.01009472294700986
603,2015-03-16,-0.029603191305354937
604,2015-03-17,0.03655424614939751
605,2015-03-18,0.052740609242339254
606,2015-03-19,-0.054000848854627304
607,2015-03-20,0.11539818491156106
608,2015-03-23,0.013947228258963662
609,2015-03-24,0.00497376018297091
610,2015-03-25,
611,2015-03-26,
612,2015-03-27,-0.0016644108789840573
613,2015-03-30,
614,2015-03-31,
615,2015-04-01,0.0165911748844092
616,2015-04-02,
617,2015-04-06,
618,2015-04-07,-0.0010225461275066294
619,2015-04-08,0.025253868596787132
620,2015-04-09,0.020731246943952897
621,2015-04-10,-0.008339514034561457
622,2015-04-13,-0.04277371530832097
623,2015-04-14,-0.0202552757181782
624,2015-04-15,0.037079530990524745
625,2015-04-16,
626,2015-04-17,
627,2015-04-20,-0.0036429912785012064
628,2015-04-22,-0.028021923365467494
629,2015-04-23,0.020695935794401876
630,2015-04-24,0.0005249671950435797
631,2015-04-27,-0.0031545242550756747
632,2015-04-28,-0.0026363842679528737
633,2015-04-29,-0.05368596991164898
634,2015-04-30,0.018217450086005282
635,2015-05-04,0.02271595660587744
636,2015-05-05,-0.028201488587142443
637,2015-05-06,
638,2015-05-07,
639,2015-05-08,-0.0038536794182428835
640,2015-05-11,-0.026265774433746447
641,2015-05-12,0.010701313049834571
642,2015-05-13,-0.025533302005165126
643,2015-05-14,0.01709448985647377
644,2015-05-15,0.021794603330246964
645,2015-05-18,-0.031445543428996636
646,2015-05-19,0.009085808722597566
647,2015-05-20,0.01626046434266959
648,2015-05-21,0.05780702003579563
649,2015-05-22,-0.02068485366007211
650,2015-05-25,-0.010234455349902749
651,2015-05-26,-0.04201834473982835
652,2015-05-27,-0.008505864070106117
653,2015-05-28,0.02862957334477656
654,2015-05-29,0.01809756001080265
655,2015-06-01,-0.03202924257227657
656,2015-06-02,0.016694933759806574
657,2015-06-03,-0.025148069470864787
658,2015-06-05,0.03503271887095982
659,2015-06-08,-0.01597384601470031
660,2015-06-09,0.042929657456547865
661,2015-06-10,0.07133066520980247
662,2015-06-11,0.02349589183946188
663,2015-06-12,-0.005822481413234826
664,2015-06-15,0.028779013211844617
665,2015-06-16,-0.003789677676189207
666,2015-06-17,-0.015786025014716376
667,2015-06-18,0.0
668,2015-06-19,-0.03633192924739026
669,2015-06-22,-0.007024564584498183
670,2015-06-23,-0.036404993342837866
671,2015-06-24,0.025774622688615523
672,2015-06-25,-0.04422052167085777
673,2015-06-26,-0.04515317149724929
674,2015-06-29,-0.04904049879770911
675,2015-06-30,0.0479270242951384
676,2015-07-01,-0.014025474567635587
677,2015-07-02,0.005633705041305781
678,2015-07-03,-0.006764343908765458
679,2015-07-06,
680,2015-07-07,
681,2015-07-08,0.017873003361355444
682,2015-07-10,0.04141610371671689
683,2015-07-13,0.01954459607297032
684,2015-07-14,
685,2015-07-15,
686,2015-07-16,0.009498751656646931
687,2015-07-17,-0.051735726920196345
688,2015-07-20,-0.026907452919923802
689,2015-07-21,-0.016036998909817246
690,2015-07-22,0.02170279294266786
691,2015-07-23,-0.08239964961393564
692,2015-07-24,0.05374439549591914
693,2015-07-27,0.0
694,2015-07-28,-0.05374439549591914
695,2015-07-29,-0.021706217232167813
696,2015-07-30,-0.05941062546597031
697,2015-07-31,-0.05469579166312233
698,2015-08-03,-0.07513558250943575
699,2015-08-04,-0.01912104144677862
700,2015-08-05,-0.0015455953617804497
701,2015-08-06,0.0
702,2015-08-07,-0.01637463487179014
703,2015-08-10,-0.03276361771561387
704,2015-08-11,-0.005702663112181927
705,2015-08-12,0.017814236275127016
706,2015-08-13,0.05085178441630145
707,2015-08-14,-0.0007630675685028621
708,2015-08-17,0.04988008253345777
709,2015-08-18,-0.05370417897186108
710,2015-08-19,-0.036679882496407856
711,2015-08-20,-0.030672299533083702
712,2015-08-21,0.02828471383858222
713,2015-08-24,0.0
714,2015-08-25,-0.008000042667076546
715,2015-08-26,-0.012121360532344472
716,2015-08-27,0.03357629553360386
717,2015-08-28,0.014826646946575206
718,2015-08-31,-0.03467644516660595
719,2015-09-01,0.001602564445541077
720,2015-09-02,0.0
721,2015-09-03,-0.005620247632153408
722,2015-09-04,0.0024125464053836865
723,2015-09-08,0.006405145997260497
724,2015-09-09,0.036823588553559716
725,2015-09-10,0.0015372793188865863
726,2015-09-11,-0.035173614178267254
727,2015-09-14,0.03363633485938067
728,2015-09-15,0.0030721990369699803
729,2015-09-16,0.03836499082720346
730,2015-09-17,0.025502292810935856
731,2015-09-18,-0.029199154692262308
732,2015-09-21,
733,2015-09-22,
734,2015-09-23,0.01775672158925934
735,2015-09-24,
736,2015-09-25,
737,2015-09-28,0.0023781224049677085
738,2015-09-29,
739,2015-09-30,
740,2015-10-01,
741,2015-10-02,
742,2015-10-05,
743,2015-10-06,
744,2015-10-07,
745,2015-10-08,0.05585213965428659
746,2015-10-09,
747,2015-10-13,
748,2015-10-14,
749,2015-10-15,0.03741626159011657
750,2015-10-16,
751,2015-10-19,
752,2015-10-20,
753,2015-10-21,
754,2015-10-22,
755,2015-10-23,
756,2015-10-26,
757,2015-10-27,0.005934795043625485
758,2015-10-28,-0.023953241022492744
759,2015-10-29,
760,2015-10-30,
